_id,createdAt,name,pollingStation,updatedAt
6028ca2abe48b504bc4f616f,2021-02-14T06:58:50.544Z,JO-ME,6028a52bbe48b504bc4f60ff,2021-02-14T06:58:50.544Z
6028ca31be48b504bc4f6170,2021-02-14T06:58:57.597Z,MI-R,6028a52bbe48b504bc4f60ff,2021-02-14T06:58:57.597Z
6028ca38be48b504bc4f6171,2021-02-14T06:59:04.821Z,S-Z,6028a52bbe48b504bc4f60ff,2021-02-14T06:59:04.821Z
6028ca4ebe48b504bc4f6172,2021-02-14T06:59:26.163Z,A-BO,6028a54bbe48b504bc4f6100,2021-02-14T06:59:26.163Z
6028ca55be48b504bc4f6173,2021-02-14T06:59:33.223Z,BR-DA,6028a54bbe48b504bc4f6100,2021-02-14T06:59:33.223Z
6028ca5bbe48b504bc4f6174,2021-02-14T06:59:39.640Z,DE-FO,6028a54bbe48b504bc4f6100,2021-02-14T06:59:39.640Z
6028ca64be48b504bc4f6175,2021-02-14T06:59:48.113Z,FR-JI,6028a54bbe48b504bc4f6100,2021-02-14T06:59:48.113Z
6028ca6bbe48b504bc4f6176,2021-02-14T06:59:55.040Z,JN-LE,6028a54bbe48b504bc4f6100,2021-02-14T06:59:55.040Z
6028ca72be48b504bc4f6177,2021-02-14T07:00:02.809Z,LI-O,6028a54bbe48b504bc4f6100,2021-02-14T07:00:02.809Z
6028ca79be48b504bc4f6178,2021-02-14T07:00:09.024Z,P-SM,6028a54bbe48b504bc4f6100,2021-02-14T07:00:09.024Z
6028ca7fbe48b504bc4f6179,2021-02-14T07:00:15.709Z,SN-Z,6028a54bbe48b504bc4f6100,2021-02-22T04:28:25.128Z
6028ca95be48b504bc4f617a,2021-02-14T07:00:37.254Z,A-D,6028a565be48b504bc4f6101,2021-02-14T07:00:37.254Z
6028ca99be48b504bc4f617b,2021-02-14T07:00:41.826Z,E-I,6028a565be48b504bc4f6101,2021-02-14T07:00:41.826Z
6028ca9fbe48b504bc4f617c,2021-02-14T07:00:47.646Z,J-O,6028a565be48b504bc4f6101,2021-02-14T07:00:47.646Z
6028caa4be48b504bc4f617d,2021-02-14T07:00:52.804Z,P-Z,6028a565be48b504bc4f6101,2021-02-14T07:00:52.804Z
6028cabbbe48b504bc4f617e,2021-02-14T07:01:15.734Z,A-CHAN,6028a57ebe48b504bc4f6102,2021-02-14T07:01:15.734Z
6028cac2be48b504bc4f617f,2021-02-14T07:01:22.209Z,CHAR-E,6028a57ebe48b504bc4f6102,2021-02-14T07:01:22.209Z
6028cac7be48b504bc4f6180,2021-02-14T07:01:27.358Z,F-I,6028a57ebe48b504bc4f6102,2021-02-14T07:01:27.358Z
6028cacdbe48b504bc4f6181,2021-02-14T07:01:33.174Z,J-K,6028a57ebe48b504bc4f6102,2021-02-14T07:01:33.174Z
6028cad2be48b504bc4f6182,2021-02-14T07:01:38.061Z,L-O,6028a57ebe48b504bc4f6102,2021-02-14T07:01:38.061Z
6028cad8be48b504bc4f6183,2021-02-14T07:01:44.937Z,P-SI,6028a57ebe48b504bc4f6102,2021-02-14T07:01:44.937Z
6028cae0be48b504bc4f6184,2021-02-14T07:01:52.124Z,SK-Z,6028a57ebe48b504bc4f6102,2021-02-14T07:01:52.124Z
6028caf5be48b504bc4f6185,2021-02-14T07:02:13.666Z,A-E,6028a5a2be48b504bc4f6103,2021-02-14T07:02:13.666Z
6028caffbe48b504bc4f6186,2021-02-14T07:02:23.914Z,F-L,6028a5a2be48b504bc4f6103,2021-02-14T07:02:23.914Z
6028cb06be48b504bc4f6187,2021-02-14T07:02:30.027Z,M-Z,6028a5a2be48b504bc4f6103,2021-02-14T07:02:30.027Z
6028cb5ebe48b504bc4f6188,2021-02-14T07:03:58.014Z,A-G,6028a381be48b504bc4f60f8,2021-02-14T07:03:58.014Z
6028cb66be48b504bc4f6189,2021-02-14T07:04:06.111Z,H-M,6028a381be48b504bc4f60f8,2021-02-14T07:04:06.111Z
6028cb6dbe48b504bc4f618a,2021-02-14T07:04:13.372Z,N-Z,6028a381be48b504bc4f60f8,2021-02-14T07:04:13.372Z
6028cb7abe48b504bc4f618b,2021-02-14T07:04:26.826Z,A-B,6028a398be48b504bc4f60f9,2021-02-14T07:04:26.826Z
6028cb7fbe48b504bc4f618c,2021-02-14T07:04:31.081Z,C-D,6028a398be48b504bc4f60f9,2021-02-14T07:04:31.081Z
6028cb84be48b504bc4f618d,2021-02-14T07:04:36.333Z,E-F,6028a398be48b504bc4f60f9,2021-02-14T07:04:36.333Z
6028cb89be48b504bc4f618e,2021-02-14T07:04:41.495Z,G-I,6028a398be48b504bc4f60f9,2021-02-14T07:04:41.495Z
6028cb8fbe48b504bc4f618f,2021-02-14T07:04:47.304Z,J-K,6028a398be48b504bc4f60f9,2021-02-14T07:04:47.304Z
6028cb97be48b504bc4f6190,2021-02-14T07:04:55.428Z,L-MAY,6028a398be48b504bc4f60f9,2021-02-14T07:04:55.428Z
6028cb9fbe48b504bc4f6191,2021-02-14T07:05:03.511Z,MC-P,6028a398be48b504bc4f60f9,2021-02-14T07:05:03.511Z
6028cbabbe48b504bc4f6192,2021-02-14T07:05:15.092Z,Q-STA,6028a398be48b504bc4f60f9,2021-02-14T07:05:15.092Z
6028cbb1be48b504bc4f6193,2021-02-14T07:05:21.830Z,STE-Z,6028a398be48b504bc4f60f9,2021-02-14T07:05:21.830Z
6028cbd1be48b504bc4f6194,2021-02-14T07:05:53.312Z,A-J,6028a3acbe48b504bc4f60fa,2021-02-14T07:05:53.312Z
6028cbd7be48b504bc4f6195,2021-02-14T07:05:59.426Z,K-Z,6028a3acbe48b504bc4f60fa,2021-02-14T07:05:59.426Z
6028cbdfbe48b504bc4f6196,2021-02-14T07:06:07.445Z,A,6028a3c1be48b504bc4f60fb,2021-02-14T07:06:07.445Z
6028cbe4be48b504bc4f6197,2021-02-14T07:06:12.160Z,B-C,6028a3c1be48b504bc4f60fb,2021-02-14T07:06:12.160Z
6028cbe8be48b504bc4f6198,2021-02-14T07:06:16.343Z,D-E,6028a3c1be48b504bc4f60fb,2021-02-14T07:06:16.343Z
6028cbedbe48b504bc4f6199,2021-02-14T07:06:21.719Z,F-G,6028a3c1be48b504bc4f60fb,2021-02-14T07:06:21.719Z
6028cbf4be48b504bc4f619a,2021-02-14T07:06:28.998Z,H-JN,6028a3c1be48b504bc4f60fb,2021-02-14T07:06:28.998Z
6028cbfebe48b504bc4f619b,2021-02-14T07:06:38.805Z,JOH-L,6028a3c1be48b504bc4f60fb,2021-02-14T07:06:38.805Z
6028cc05be48b504bc4f619c,2021-02-14T07:06:45.359Z,M-O,6028a3c1be48b504bc4f60fb,2021-02-14T07:06:45.359Z
6028cc0cbe48b504bc4f619d,2021-02-14T07:06:52.301Z,P-R,6028a3c1be48b504bc4f60fb,2021-02-14T07:06:52.301Z
6028cc0fbe48b504bc4f619e,2021-02-14T07:06:55.854Z,S,6028a3c1be48b504bc4f60fb,2021-02-14T07:06:55.854Z
6028cc15be48b504bc4f619f,2021-02-14T07:07:01.723Z,T-Z,6028a3c1be48b504bc4f60fb,2021-02-14T07:07:01.723Z
6028cc24be48b504bc4f61a0,2021-02-14T07:07:16.795Z,A-C,6028a3e1be48b504bc4f60fc,2021-02-14T07:07:16.795Z
6028cc2abe48b504bc4f61a1,2021-02-14T07:07:22.045Z,D-F,6028a3e1be48b504bc4f60fc,2021-02-14T07:07:22.045Z
6028cc2fbe48b504bc4f61a2,2021-02-14T07:07:27.060Z,G-J,6028a3e1be48b504bc4f60fc,2021-02-14T07:07:27.060Z
6028cc44be48b504bc4f61a3,2021-02-14T07:07:48.194Z,K-O,6028a3f5be48b504bc4f60fd,2021-02-14T07:07:48.194Z
6028cc4abe48b504bc4f61a4,2021-02-14T07:07:54.419Z,P-SP,6028a3f5be48b504bc4f60fd,2021-02-14T07:07:54.419Z
6028cc51be48b504bc4f61a5,2021-02-14T07:08:01.354Z,ST-Z,6028a3f5be48b504bc4f60fd,2021-02-14T07:08:01.354Z
6028cc61be48b504bc4f61a6,2021-02-14T07:08:17.347Z,A-G,6028a406be48b504bc4f60fe,2021-02-14T07:08:17.347Z
6028cc67be48b504bc4f61a7,2021-02-14T07:08:23.437Z,H-M,6028a406be48b504bc4f60fe,2021-02-14T07:08:23.437Z
6028cc6dbe48b504bc4f61a8,2021-02-14T07:08:29.412Z,N-Z,6028a406be48b504bc4f60fe,2021-02-14T07:08:29.412Z
6028cc8dbe48b504bc4f61a9,2021-02-14T07:09:01.942Z,A-E,6028a2c0be48b504bc4f60f1,2021-02-14T07:09:01.942Z
6028cc93be48b504bc4f61aa,2021-02-14T07:09:07.258Z,F-L,6028a2c0be48b504bc4f60f1,2021-02-14T07:09:07.258Z
6028cc99be48b504bc4f61ab,2021-02-14T07:09:13.864Z,M-Z,6028a2c0be48b504bc4f60f1,2021-02-14T07:09:13.864Z
6028cca7be48b504bc4f61ac,2021-02-14T07:09:27.081Z,A-E,6028a2d0be48b504bc4f60f2,2021-02-14T07:09:27.081Z
6028ccacbe48b504bc4f61ad,2021-02-14T07:09:32.207Z,F-K,6028a2d0be48b504bc4f60f2,2021-02-14T07:09:32.207Z
6028ccb1be48b504bc4f61ae,2021-02-14T07:09:37.521Z,L-R,6028a2d0be48b504bc4f60f2,2021-02-14T07:09:37.521Z
6028ccb7be48b504bc4f61af,2021-02-14T07:09:43.035Z,S-Z,6028a2d0be48b504bc4f60f2,2021-02-14T07:09:43.035Z
6028ccc5be48b504bc4f61b0,2021-02-14T07:09:57.537Z,A-E,6028a2e1be48b504bc4f60f3,2021-02-14T07:09:57.537Z
6028cccabe48b504bc4f61b1,2021-02-14T07:10:02.583Z,F-J,6028a2e1be48b504bc4f60f3,2021-02-14T07:10:02.583Z
